siteId,name,calory,carbo,protein,fat,fiber,activity1,activity2,activity3,activity4
80,ماهی قزل آلا، کباب شده,135,0,21.5,5.4,0,19,14,38,32
82,ماهی ساردین کباب شده با استخوان,119,0,15.4,6.3,0,16,12,33,29
81,ماهی هادوک کباب شده با استخوان,97,0,22.6,0.7,0,13,10,27,23
83,ماهی آزاد نر کباب شده با استخوان,161,0,12.7,12.2,0,22,17,45,39
84,ماهی چهارگوش کباب شده با استخوان,59,0,14,0.3,0,8,6,16,14
86,,,,,,,,,,
87,عصاره گوشت,179,3.2,40.4,0.6,0,25,19,50,43
90,گوشت گوزن، خام,103,0,22.2,1.6,0,14,10,29,25
91,گوشت گاو با چربی,332,0,14,30,0,47,35,94,80
85,ماهی مونک، کباب شده با استخوان,74,0,17.5,0.4,0,10,7,21,18
92,گوشت گاو بدون چربی,220,0,26,15,0,31,23,62,53
94,گوشت گوزن، بریان شده,165,0,35.6,2.5,0,23,17,46,40
88,گوشت گوساله,172,0,24,8,0,24,18,48,41
89,گوشت گوسفند,300,0,25,21,0,42,31,85,73
97,گوشت کبک بریان شده,212,0,36.7,7.2,0,30,22,60,51
98,گوشت چرخ کرده گوساله، خام,241,0,24,15,0,34,25,68,58
93,گوشت خرگوش، خام,137,0,21.9,5.5,0,19,14,38,33
99,کبوتر فقط گوشت بریان شده,187,0,29,7.9,0,26,19,53,45
95,گوشت چرخ کرده گاو، خام,225,0,19.7,16.2,0,31,23,63,54
100,گوشت مرغ، آب پز,183,0,29.2,7.3,0,26,19,52,44
96,گوشت غاز بریان شده,319,0,29.3,22.4,0,45,33,90,77
101,گوشت قرقاول بریان شده,220,0,27.9,12,0,31,23,62,53
103,گوشت باریک سرخ شده بوقلمون,164,0,31,4.5,0,23,17,46,40
104,سگ ماهی، خام,154,0,16.6,9.7,0,21,16,43,37
105,ماهی کاد خام,80,0,18.3,0.7,0,11,8,22,19
108,ماهی تون خام,136,0,23.7,4.6,0,19,14,38,33
107,شاه ماهی خام,190,0,17.8,13.2,0,27,20,54,46
102,گوشت باقرقره بریان شده,128,0,27.6,2,0,18,13,36,31
109,ماهی کپور خام,127,0,17.5,4.7,0,18,13,36,30
111,طوطی ماهی خام,83,0,19.9,0.4,0,11,8,23,20
112,کوسه ماهی خام,102,0,23,1.1,0,14,10,29,24
106,سپر ماهی خام,95,0,17.7,2.7,0,13,10,27,23
114,ماهی ده پا خام,71,0,16.1,0.7,0,10,7,20,17
115,ماهی هادوک خام,81,0,19,0.6,0,11,8,23,19
116,شمشیر ماهی خام,109,0,18,4.1,0,15,11,30,26
110,ماهی کولی خام,82,0,18.3,1,0,11,8,23,20
118,ماهی هشت پا خشک,313,4.8,63.3,4.6,0,44,33,89,76
119,ماهی بالدار خام,86,0,21,0.3,0,12,9,24,20
113,گربه ماهی خام,96,0,17.6,2.8,0,13,10,27,23
122,ماهی آزاد نر خام,229,0,17.5,17.7,0,32,24,65,55
123,ماهی هالیبوت خام,103,0,21.5,1.9,0,14,10,29,25
117,ماهی هشت پا خام,81,1.2,15.4,1.7,0,11,8,23,19
124,ماهی اختاپوس خام,83,0,17.9,1.3,0,11,8,23,20
126,ماهی کولی بخار پز,105,0,23.3,1.3,0,14,11,29,25
120,ماهی ساردین خام,165,0,20.6,9.2,0,23,17,46,40
121,ماهی کاد بخار پز,83,0,18.6,0.9,0,11,8,23,20
127,ماهی مونک (Monk) خام,66,0,15.7,0.4,0,9,7,18,16
130,ماهی کاد دودی خام,79,0,18.3,0.6,0,11,8,22,19
125,ماهی چهارگوش خام,64,0,15.1,0.4,0,9,6,18,15
133,ماهی خال مخالی خام,220,0,18.7,16.1,0,31,23,62,53
134,ماهی کاد منجمد خام,72,0,16.7,0.6,0,10,7,20,17
128,ماهی نرم باله خام,81,0,18.7,0.7,0,11,8,23,19
129,گربه ماهی بخار پز,119,0,21.4,3.7,0,16,12,33,29
135,ماهی سیم دریایی خام,96,0,17.5,2.9,0,13,10,27,23
131,ماهی هادوک بخار پز,89,0,20.9,0.6,0,12,9,25,21
138,ماهی هادوک دودی خام,81,0,19,0.6,0,11,8,23,19
139,ماهی هالیبوت بخار پز,131,0,23.8,4,0,18,13,37,31
140,شاه ماهی خشک نمک سود,168,0,25.3,7.4,0,23,17,47,40
136,ماهی خال مخالی دودی,354,0,18.9,30.9,0,50,37,100,86
141,ماهی پهن (فلوندر) خام,82,0,16.4,1.8,0,11,8,23,20
137,ماهی کولی منجمد خام,74,0,16.4,0.9,0,10,7,21,18
143,ماهی هادوک منجمد خام,74,0,17.3,0.5,0,10,7,21,18
146,ماهی سفید خشک نمک سود,148,0,34.5,1.1,0,21,15,42,36
147,نان سوخاری,407,72,14,7,2.4,57,43,115,99
142,ماهی نرم باله بخار پز,92,0,20.9,0.9,0,13,9,26,22
132,ماهی آزاد قرمز خام,98,0,18.4,2.7,0,13,10,27,23
149,میگو درشت خام,76,0,17.6,0.6,0,10,8,21,18
144,شاه ماهی کوچک سرخ شده,415,0,24.9,35,0,59,44,118,101
145,ماهی پهن (پیچ Plaice) خام,79,0,16.7,1.4,0,11,8,22,19
150,میگو درشت خشک,281,0,62.5,3.5,0,39,29,79,68
152,آب پنیر,24,5.1,0.8,0.1,0,3,2,6,5
153,پنیر فتا / سفید ایرانی,265,3.9,14.2,21.5,0,37,28,75,64
148,میگو ریز خشک,245,0,55.8,2.4,0,34,26,69,59
154,پنیر گودا,375,0,24,31,0,53,39,106,91
156,پنیر محلی,120,7,12,1,0,17,12,34,29
151,میگو ریز کنسرو شده در آب نمک بدون آب,94,0,20.8,1.2,0,13,10,26,22
157,پنیر کشایر,379,0.1,24,31.4,0,53,40,107,92
158,آب پنیر خشک (پودر),339,73.4,11.7,0.5,0,48,36,96,82
159,پودینگ پنیر,170,8.5,10.1,10.9,0.4,24,18,48,41
160,پنیر بلغاری,264,4.1,14,21,0,37,28,75,64
155,پنیر سویا (توفو),76,1.9,8,4.8,0.3,10,8,21,18
161,پنیر بری (Beri),319,0,48.6,26.9,0,45,33,90,77
163,پنیر خامه ای,350,5.5,6.2,34.4,0,49,37,99,85
164,خامه تازه ترش,205,3.8,2.9,19.9,0,29,21,58,50
165,خامه تازه رقیق,148,4.3,3,13.3,0,21,15,42,36
167,خامه تازه معمولی,198,4.1,2.6,19.1,0,28,21,56,48
169,کشک خشک,347,42,35,4.5,0,49,36,98,84
162,خامه تارتار,239,0,0,0,0,33,25,67,58
168,رویه شیرینی تهیه شده از شکر و سفیده تخم مرغ و کره,507,64,0.2,29.2,0,72,54,144,123
170,کشک,98,3.4,11,4.3,0,13,10,27,23
171,ماست سویا,94,16,3.5,1.8,0,13,10,26,22
172,ماست کیسه ای,155,2,6.4,11,0,22,16,44,37
166,خامه تازه غلیظ,449,2.7,1.7,48,0,63,47,127,109
174,ماست کم کالری,41,6,4.3,0.2,0,5,4,11,10
175,ماست یونانی گاوی,115,2,6.4,9.1,0,16,12,32,28
176,ماست کم چرب,63,7,5.3,1.6,0,8,6,17,15
177,ماست کم چربی میوه ای,90,17.9,4.1,0.7,0,12,9,25,21
179,ماست کم چربی طعم دار,90,17.9,3.8,0.9,0,12,9,25,21
180,آرد ذرت,354,92,0.6,0.7,3.9,50,37,100,86
173,دوغ پر چرب (غلیظ),41,3.2,2.3,2.2,0.1,5,4,11,10
181,آرد جو دوسر خام,401,72.7,12.4,7.8,6.3,57,42,114,97
178,ماست یونانی گوسفندی,106,5.6,4.4,7.5,0,15,11,30,25
185,کراکر از آرد کامل,413,72.1,10.1,11.3,4.8,58,44,117,100
186,آرد سویا تمام چربی,447,23.5,36.8,23.5,10.7,63,47,127,109
187,ماهی نقره ای در آرد سرخ شده,525,5.3,19.5,47.5,0.2,74,55,149,128
188,آرد جو دوسر سریع پز خام,375,66,11.2,8.2,6.8,53,39,106,91
182,آرد چاپاتی سفید,335,77.6,9.8,0.5,4.1,47,35,95,81
183,آرد چاودار کامل,335,75.8,8.2,2,10,47,35,95,81
189,نان ساندویچی از آرد کامل,241,48.3,9,2.9,8.8,34,25,68,58
184,آرد سویا کم چربی,352,28.2,45.3,7.2,13.3,50,37,100,85
190,اسپاگتی از آرد کامل خام,324,66.1,13.4,2.5,11.5,46,34,92,79
193,باقلا خشک خام,341,58,26,1.5,25,48,36,96,83
194,باقلا پخته ,110,20,8,0.4,5,15,11,31,26
